hotel_id,city,province,name,address,postalcode
1009,Los Angeles,CA,W Los Angeles - West Beverly Hills,930 Hilgard Ave,90024
1010,Louisville,KY,Comfort Inn Suites Airport and Expo,653 Phillips Ln,40209
1011,Louisville,KY,Courtyard Louisville Airport,819 Phillips Ln,40209
1012,Louisville,KY,Econo Lodge Downtown,401 S 2nd St,40202
1013,Louisville,KY,Fairfield Inn & Suites Louisville Downtown,100 E Jefferson St,40202
1014,Louisville,KY,Galt House Hotel,140 N 4th St,40202
1015,Louisville,KY,Howard Johnson Express Inn/Airport,709 Phillips Ln,40209
1016,Louisville,KY,Ramada Louisville Expo Center,2912 Crittenden Dr,40209
1017,Loup City,NE,Frederick Hotel Cafe,810 O St,68853
1018,Lubbock,TX,Americas Best Value Inn - Medical Center / Lubbock,4105 19th St,79410
1019,Ludlow,VT,Ludlow Village Inn & Suites,95 Main St,5149
1020,Lufkin,TX,Best Western Plus Crown Colony Inn Suites,3211 S 1st St,75901
1021,Luray,VA,Luray Caverns Motel East,831 W Main St,22835
1022,Lynchburg,VA,Econo Lodge,2400 Stadium Rd,24501
1023,Lynchburg,VA,Hampton Inn Suites Lynchburg,3600 Liberty Mountain Dr,24502
